lab_id,paper_id,OC_pct,pH,PFAS,soil_conc_ug_kg,leachate_conc_ng_L,Kd_L_per_kg,log10_Kd_L_per_kg
144X,N79,7.5,,PFOA,0.7483881613909995,6.8856482548166165,98.68812,4.9943
144X,N79,7.5,,PFHxS,1.7619955680972095,4.404999999999999,389.998994,5.5911
144X,N79,7.5,,PFNA,1.4003391710308317,28.003200063893118,40.006398,4.6021
144X,N79,7.5,,PFOS,1.4544963740887713,2.5588352408714297,558.421269,5.747
137X,N80,6.9,,PFPeA,0.36635586123334646,5.66,54.727184,4.7382
137X,N80,6.9,,PFHxA,1.1957963748288876,1.25,946.6371,5.9762
137X,N80,6.9,,PFNA,1.8692079146332616,2.98,617.250978,5.7905
142X,N81,7.5,,PFPeA,0.1285038917321656,9.99,2.863252,3.4569
142X,N81,7.5,,PFHpA,0.09891953456411601,1.45,58.220369,4.7651
142X,N81,7.5,,PFHxS,0.7612928711724463,0.25,3035.171485,6.4822
142X,N81,7.5,,PFNA,0.4613628356505426,5.67,71.369107,4.8535
149X,N82,6.7,2.3774234495879014,PFPrA,2.3774234495879014,31.4,65.714123,4.8177
149X,N82,6.7,2.3774234495879014,PFPeA,0.4407889474545983,2.42,172.144193,5.2359
149X,N82,6.7,2.3774234495879014,6:2 FTS,1.5523625184981382,14.54,96.76496,4.9857
149X,N82,6.7,2.3774234495879014,PFNA,3.7328134539887143,2.07,1793.291524,6.2537
190X,N83,7.3,4.176062151794324,PFPrA,4.176062151794324,38.47129541283597,98.550079,4.9937
190X,N83,7.3,4.176062151794324,PFPeA,0.7082088373453402,3.3714478177347105,200.060744,5.3012
190X,N83,7.3,4.176062151794324,PFHxS,0.8842207466018808,0.9806476780145598,891.670158,5.9502
122X,N84,7.2,,PFPeA,0.14734155735253635,7.39,9.937964,3.9973
122X,N84,7.2,,PFHxA,1.60209122171685,3.88,402.910109,5.6052
122X,N84,7.2,,PFHxS,23.71582799044905,0.27,87826.399965,7.9436
122X,N84,7.2,,PFNA,10.468461396821226,4.1,2543.283268,6.4054
