lab_id,paper_id,OC_pct,pH,PFAS,soil_conc_ug_kg,leachate_conc_ng_L,Kd_L_per_kg,log10_Kd_L_per_kg
34X,N33,7.1,,PFNA,0.7161170259959273,1.016304650761147,694.628308,5.8418
119X,N34,6.9,1.93071049298399,PFPrA,1.93071049298399,47.08,31.009144,4.4915
119X,N34,6.9,1.93071049298399,PFPeA,3.855500244125796,193.78,9.896275,3.9955
119X,N34,6.9,1.93071049298399,PFHxA,1.8344159198283547,105.68,7.358213,3.8668
119X,N34,6.9,1.93071049298399,PFHpA,1.061653246983909,69.42,5.29319,3.7237
119X,N34,6.9,1.93071049298399,PFHxS,1.4125697777300183,24.7,47.18906,4.6738
119X,N34,6.9,1.93071049298399,PFNA,3.8698360357043007,62.34,52.076292,4.7166
177X,N35,6.7,2.566219052268929,PFPrA,2.566219052268929,15.46,155.990883,5.1931
177X,N35,6.7,2.566219052268929,PFPeA,3.36274423768206,229.04,4.681908,3.6704
177X,N35,6.7,2.566219052268929,PFBS,0.2649644005415217,9.64,17.485934,4.2427
177X,N35,6.7,2.566219052268929,PFHpA,1.340691286699844,99.09,3.530036,3.5478
177X,N35,6.7,2.566219052268929,6:2 FTS,0.6728747336817485,14.32,36.988459,4.5681
177X,N35,6.7,2.566219052268929,6:2 FTAB,37.686909775076934,284.66,122.392713,5.0878
177X,N35,6.7,2.566219052268929,PFOA,0.9204417634061932,5.98,143.920027,5.1581
177X,N35,6.7,2.566219052268929,PFHxS,2.814662371484591,30.91,81.059928,4.9088
177X,N35,6.7,2.566219052268929,PFNA,1.7838190044343052,22.58,68.999956,4.8388
177X,N35,6.7,2.566219052268929,PFOS,11.035520872347496,128.45,75.912969,4.8803
152X,N36,7.1,,PFPeA,0.3504005536187091,9.02,28.847068,4.4601
152X,N36,7.1,,PFHxA,2.4028710729680363,23.98,90.203131,4.9552
152X,N36,7.1,,PFHpA,0.39020912217388637,6.56,49.483098,4.6945
152X,N36,7.1,,PFHxS,1.4165223804038183,1.16,1211.139983,6.0832
152X,N36,7.1,,PFNA,6.393516340976064,39.71,151.005196,5.179
165X,N37,7.1,,PFPeA,0.44932804284879657,16.81513456034711,16.721644,4.2233
165X,N37,7.1,,PFHxA,1.175078395355464,46.8707555685506,15.070609,4.1781
165X,N37,7.1,,PFHpA,0.35523092950595714,15.469073695938896,12.963943,4.1127
165X,N37,7.1,,PFOA,1.3804194401453471,12.890518578350669,97.087968,4.9872
165X,N37,7.1,,PFHxS,0.11224256583398036,1.7393226710134244,54.532342,4.7367
165X,N37,7.1,,PFNA,4.183068209150675,65.82043778939668,53.552725,4.7288
103X,N38,7.2,,PFPeA,1.0507377409215997,18.70087970529057,46.186541,4.6645
103X,N38,7.2,,PFHxA,1.8807497601271381,93.2699093027843,10.164593,4.0071
103X,N38,7.2,,PFHpA,0.3498247150582501,14.449715280291384,14.2098,4.1526
103X,N38,7.2,,PFOA,1.1674571380889125,10.646270355821256,99.658791,4.9985
103X,N38,7.2,,PFNA,10.111607149710906,260.0177207310802,28.888146,4.4607
103X,N38,7.2,,PFDA,0.7714962546800846,1.4062449355016133,538.621535,5.7313
103X,N38,7.2,,PFUnDA,3.9351021882216655,5.50401409042075,704.951329,5.8482
108X,N39,4.4,,PFHxS,0.3257072186827923,3.94,72.666807,4.8613
108X,N39,4.4,,PFNA,1.1868478624167729,30.890368078316147,28.421292,4.4536
108X,N39,4.4,,PFUnDA,1.076506015016305,2.3004423054932355,457.956102,5.6608
110X,N40,6.8,,PFPeA,0.3151428606742952,3.628086232570366,76.862009,4.8857
110X,N40,6.8,,PFHxA,1.0203256487962284,25.05512367494381,30.723233,4.4875
110X,N40,6.8,,PFHpA,0.35925545641543166,3.3159762444184864,98.340781,4.9927
110X,N40,6.8,,PFNA,3.0880115217728887,16.66957841103666,175.248328,5.2437
120X,N41,4.3,,6:2 FTS,2.2940977514041996,3.2342430284218686,699.315203,5.8447
120X,N41,4.3,,PFNA,0.1818732524506875,7.393104323199806,14.60039,4.1644
130X,N42,7.1,,PFBA,0.4707906947514733,8.303365265108383,46.698782,4.6693
130X,N42,7.1,,PFHxA,1.0508194309029064,13.847997338710995,65.882411,4.8188
130X,N42,7.1,,PFHxS,17.443849744830793,8.5,2042.217617,6.3101
130X,N42,7.1,,PFNA,3.471929254862273,12.350057406950532,271.126568,5.4332
136X,N43,4.2,,PFBA,1.5619260164898081,1.8059266299028636,854.888966,5.9319
136X,N43,4.2,,PFPeA,2.520308687186987,9.722563810939494,249.222643,5.3966
136X,N43,4.2,,PFHxA,1.7392821295510883,35.86181015845556,38.499563,4.5855
136X,N43,4.2,,PFHpA,1.3966255001422292,2.8625324570926525,477.898573,5.6793
136X,N43,4.2,,PFNA,5.668746532642975,154.4394365286797,26.705304,4.4266
136X,N43,4.2,,PFDA,0.4456952988675,4.387953382655251,91.572478,4.9618
136X,N43,4.2,,PFOS,2.8989064232562627,4.547234892973824,627.509716,5.7976
136X,N43,4.2,,PFUnDA,3.7790596171451725,6.02079276200181,617.668111,5.7908
143X,N44,6,,PFNA,0.7646119053598512,20.065599308609556,28.10561,4.4488
157X,N45,5.1,,PFHxA,0.6225724516409796,14.936490471296342,31.681307,4.5008
157X,N45,5.1,,PFHpA,0.27588878900377417,14.98622072312736,8.409497,3.9248
157X,N45,5.1,,PFNA,1.2009282729458843,12.21726384014067,88.297646,4.9459
178X,N46,5.5,,PFHxS,0.2605751093293125,8.8,19.610808,4.2925
186X,N47,4.9,,PFBS,0.24966862242793947,0.1505283973578595,1648.614765,6.2171
186X,N47,4.9,,PFNA,0.5940508371334405,0.7305738223725755,803.129103,5.9048
188X,N48,5.4,,PFBS,0.3690898014699764,2.6837877805264156,127.525703,5.1056
195X,N49,7,1.0625093635079734,PFPrA,1.0625093635079734,9.382986354146995,103.237867,5.0138
195X,N49,7,1.0625093635079734,PFHxA,0.8024510189058526,29.044419626512383,17.628406,4.2462
195X,N49,7,1.0625093635079734,PFHpA,0.6976917300758815,23.829265089740876,19.278777,4.2851
195X,N49,7,1.0625093635079734,PFOA,1.4865649308307467,23.96113276565153,52.040678,4.7163
195X,N49,7,1.0625093635079734,PFNA,2.8199857411983666,48.85224841275692,47.724789,4.6787
71X,N50,7.1,,PFPeA,0.2296215922426213,3.315931948044481,59.247981,4.7727
71X,N50,7.1,,PFHxA,0.42482047489412333,8.936372025790128,37.53836,4.5745
71X,N50,7.1,,PFHpA,0.21615656945313103,3.3920005610158954,53.725393,4.7302
71X,N50,7.1,,PFNA,1.6844912907514933,15.45080410314885,99.022888,4.9957
173X,N51,6.8,,PFPeA,0.14612354133339572,6.575788220807609,12.221449,4.0871
173X,N51,6.8,,PFHxA,0.2641781155904209,9.081375249138771,19.0901,4.2808
173X,N51,6.8,,PFHpA,0.20621994088485968,12.485839055398001,6.516306,3.814
173X,N51,6.8,,PFOA,1.2358795570042003,38.344980603028674,22.230543,4.347
173X,N51,6.8,,PFHxS,0.2671716191398691,0.279383435233298,946.290121,5.976
173X,N51,6.8,,PFNA,0.7824248017334565,16.79963369808221,36.57392,4.5632
173X,N51,6.8,,PFOS,4.879741955379622,45.894957169860724,96.324142,4.9837
164X,N52,6.8,,PFPeA,3.614353433805988,245.36779150096982,4.73035,3.6749
164X,N52,6.8,,PFBS,1.2115961061710965,1.0457071300201346,1148.638085,6.0602
164X,N52,6.8,,PFHxA,1.84548577163121,147.75271528173528,2.490368,3.3963
164X,N52,6.8,,PFHpA,1.501333264821101,88.97028810907014,6.874547,3.8372
164X,N52,6.8,,6:2 FTS,0.7434372563607184,5.114027292504461,135.372172,5.1315
164X,N52,6.8,,6:2 FTAB,36.67882007432084,441.6020952488864,73.058528,4.8637
164X,N52,6.8,,PFOA,1.0597237848182406,10.210302196872654,93.789659,4.9722
164X,N52,6.8,,PFHxS,7.243226619572625,24.374881344492835,287.159462,5.4581
164X,N52,6.8,,PFNA,2.2158255475092767,26.713156022030585,72.948849,4.863
164X,N52,6.8,,PFOS,11.193560630454396,96.47529267543499,106.025153,5.0254
151X ,N53,5.2,3.3859156701206343,PFPrA,3.3859156701206343,12.669564362086454,257.247995,5.4104
151X ,N53,5.2,3.3859156701206343,PFNA,0.8614245770131568,6.732933213808901,117.941946,5.0717
156X,N54,7.2,,PFPeA,0.32957274113064017,16.346830476981054,10.161263,4.0069
156X,N54,7.2,,PFHpA,0.1285305722192021,0.7874533559480184,153.223093,5.1853
156X,N54,7.2,,PFNA,0.17722531357832372,1.0190160178460164,163.918084,5.2146
160X,N55,6.8,,PFHxA,0.736373193326604,29.135639397453904,15.273967,4.184
160X,N55,6.8,,PFHpA,0.20580110762249035,6.727341066863077,20.591746,4.3137
160X,N55,6.8,,PFOA,0.7587038490088631,1.184962812116657,630.276506,5.7995
160X,N55,6.8,,PFNA,0.6973024913798507,4.063043468402092,161.620731,5.2085
184X,N56,7.1,,PFPeA,0.06757883808184913,4.383859623038885,5.415375,3.7336
184X,N56,7.1,,PFDA,0.336091245713684,2.297739349942316,136.270396,5.1344
184X,N56,7.1,,PFOS,1.6098913029542992,2.0297852848563895,783.133793,5.8938
184X,N56,7.1,,PFUnDA,0.1993294201563452,3.0259051924286005,55.874311,4.7472
207X,N57,6.8,,PFPeA,0.23794090619017405,12.37879533694337,9.221653,3.9648
207X,N57,6.8,,PFHxA,0.2496980006821619,7.645414080868404,22.65984,4.3553
207X,N57,6.8,,PFHpA,0.2454808079530753,19.459791608348105,2.614771,3.4174
207X,N57,6.8,,PFOA,1.021973691027009,21.272167960966467,38.042761,4.5803
207X,N57,6.8,,PFNA,1.484058740013051,22.806702326093447,55.071167,4.7409
207X,N57,6.8,,PFOS,2.644777407802266,11.102375491962809,228.217254,5.3583
166X,N58,6.9,,PFPeA,0.30960052752676476,1.860042694803146,156.448076,5.1944
100X,N59,7.1,0.8590245177477117,PFPrA,0.8590245177477117,6.2,128.552342,5.1091
100X,N59,7.1,0.8590245177477117,PFPeA,0.636712420303327,21.37,19.794685,4.2965
100X,N59,7.1,0.8590245177477117,PFHxA,2.17319408298698,116.06,8.724747,3.9408
100X,N59,7.1,0.8590245177477117,PFHpA,0.2694393229780388,6.95,28.768248,4.4589
100X,N59,7.1,0.8590245177477117,PFHxS,1.9804048954608036,5.95,322.841159,5.509
100X,N59,7.1,0.8590245177477117,PFNA,7.412206856807655,154.77,37.891755,4.5785
100X,N59,7.1,0.8590245177477117,PFOS,1.7972748460248111,0.11,16328.862237,7.213
100X,N59,7.1,0.8590245177477117,PFUnDA,5.694696904424121,7.21,779.833135,5.892
106X,N60,7.2,,6:2 FTS,3.1680702754409307,46.8,57.693809,4.7611
106X,N60,7.2,,6:2 FTAB,51.83129467231844,354.42,136.242579,5.1343
106X,N60,7.2,,PFNA,1.7449595352838325,30.05,48.068537,4.6819
115X,N61,6.8,,PFHxA,2.4587241957461545,181.66,3.534758,3.5484
115X,N61,6.8,,PFHpA,0.2728525173018727,17.94,5.20917,3.7168
115X,N61,6.8,,PFOA,0.5228916041323604,3.46,141.124741,5.1496
115X,N61,6.8,,PFHxS,0.30880145728415453,5.96,41.812325,4.6213
115X,N61,6.8,,PFNA,9.516281294500033,277.96,24.236154,4.3845
115X,N61,6.8,,PFDA,3.7865382907165572,25.98,135.748202,5.1327
115X,N61,6.8,,PFUnDA,0.5453377352617228,16.35,23.35399,4.3684
121X,N62,7,,PFPeA,0.17563426983837124,9.8,7.921864,3.8988
121X,N62,7,,PFHxA,0.8985350388896675,47.11,9.073128,3.9578
121X,N62,7,,PFHpA,0.18548653964308048,6.68,17.767446,4.2496
121X,N62,7,,PFHxS,0.10189773327274088,1.24,72.175591,4.8584
121X,N62,7,,PFNA,2.886062350576993,66.88,33.152846,4.5205
121X,N62,7,,PFUnDA,1.4745052329851043,2.05,709.270845,5.8508
132X,N63,7,6.083981516369093,PFPrA,6.083981516369093,5.8,1038.96233,6.0166
132X,N63,7,6.083981516369093,PFPeA,0.28765172451244325,5.73,40.200999,4.6042
132X,N63,7,6.083981516369093,PFBS,0.22301194048354445,0.948,225.244663,5.3527
132X,N63,7,6.083981516369093,6:2 FTS,1.7047675178557138,10.92,146.114242,5.1647
132X,N63,7,6.083981516369093,PFHxS,1.4287220670102037,0.83,1711.351888,6.2333
132X,N63,7,6.083981516369093,PFNA,0.9977236435820511,3.67,261.859303,5.4181
138X,N64,6.8,,PFPeA,0.3028237012957119,17.57,7.23527,3.8595
138X,N64,6.8,,PFHxA,2.373535375974373,130.45,8.194982,3.9135
138X,N64,6.8,,PFHpA,0.24185184514747846,10.81,12.372974,4.0925
138X,N64,6.8,,PFNA,4.158205343205232,118.07,25.218136,4.4017
138X,N64,6.8,,PFDA,1.7122298932608981,7.68,212.946601,5.3283
138X,N64,6.8,,PFOS,1.5807554290069428,2.33,668.435806,5.8251
138X,N64,6.8,,PFUnDA,7.4384305774402115,9.49,773.817764,5.8886
147X,N65,7.5,,PFPeA,0.1966318063503828,8.02,14.517682,4.1619
147X,N65,7.5,,PFBS,0.2678196972167533,0.758,343.324139,5.5357
147X,N65,7.5,,PFHxS,2.8291558725639745,1.2,2347.629894,6.3706
147X,N65,7.5,,PFNA,1.8347788495099906,163.49,1.222575,3.0873
147X,N65,7.5,,PFOS,0.7791989976385492,7.46,94.450268,4.9752
147X,N65,7.5,,PFUnDA,0.8985042299690169,62.76,4.316511,3.6351
159X,N66,7.1,,PFPeA,0.852869663934577,53.32,5.995305,3.7778
159X,N66,7.1,,PFHxA,2.44831822109926,198.29,2.347159,3.3705
159X,N66,7.1,,PFHpA,0.21880093885488267,9.45,13.153539,4.119
159X,N66,7.1,,PFOA,0.5654282156848923,13.79,31.002771,4.4914
159X,N66,7.1,,PFNA,9.836012533711378,663.07,4.834048,3.6843
159X,N66,7.1,,PFDA,2.328099147717884,49.68,36.861899,4.5666
159X,N66,7.1,,PFOS,0.9861778409105886,14.92,56.097711,4.7489
159X,N66,7.1,,PFUnDA,10.607091360928447,62.66,159.280105,5.2022
69X,N67,6.9,,PFPeA,0.30603567147894994,9.597613606270695,21.886642,4.3402
69X,N67,6.9,,PFHxA,1.3934590448366526,50.89776689813977,17.377607,4.24
69X,N67,6.9,,PFHpA,0.2468891272811657,1.4808360893757442,156.722792,5.1951
69X,N67,6.9,,PFNA,5.991237102753972,97.7012965009373,51.321982,4.7103
69X,N67,6.9,,PFOS,0.8213965093482966,4.123190540871564,189.213813,5.277
69X,N67,6.9,,PFUnDA,4.704725046687257,4.106940553301766,1135.554698,6.0552
75X,N68,7.1,,PFBA,1.0291578389736458,33.73610724888992,20.506123,4.3119
75X,N68,7.1,,PFOA,0.6774966887620175,10.960711064121575,51.811381,4.7144
75X,N68,7.1,,PFHxS,9.730704682703848,1.2468402809844557,7794.29124,6.8918
75X,N68,7.1,,PFUnDA,0.08814012782313183,3.486122133251456,15.283144,4.1842
78X,N69,7.1,,PFPeA,2.391135775992187,30.946729960047957,67.266185,4.8278
78X,N69,7.1,,PFHxA,1.8812497408196216,85.19946206539336,12.080535,4.0821
78X,N69,7.1,,PFHpA,0.26251461595614856,8.347420251212263,21.448592,4.3314
78X,N69,7.1,,PFHxS,0.22234194915980576,3.7434858695181195,49.39436,4.6937
78X,N69,7.1,,PFNA,5.203510445272595,89.79150972143492,47.95103,4.6808
78X,N69,7.1,,PFDA,1.496002745386054,2.1596400371703885,682.709303,5.8342
78X,N69,7.1,,PFUnDA,22.99786559162933,27.546502861243503,824.874238,5.9164
79X,N70,6.7,,PFPeA,0.3144784674513409,17.480427099686313,7.990319,3.9026
79X,N70,6.7,,PFHxA,2.7156155442482843,32.308406658062154,74.052908,4.8695
79X,N70,6.7,,PFHpA,0.41963053311420906,11.469776752350919,26.585763,4.4246
79X,N70,6.7,,PFOA,0.8698101112976635,5.673605444948485,143.308178,5.1563
79X,N70,6.7,,PFHxS,5.168046341636854,1.4063045703656398,3664.912569,6.5641
79X,N70,6.7,,PFNA,5.986636243256859,44.37822853947591,124.900298,5.0966
81X,N71,6.8,,PFPeA,0.2039256465712165,10.85233532897271,8.790946,3.944
81X,N71,6.8,,PFHxA,0.7656893022246716,28.720406589358014,16.660114,4.2217
81X,N71,6.8,,PFHpA,0.1725639920606586,1.731829484654265,89.6426,4.9525
81X,N71,6.8,,PFNA,4.15481605132404,86.19286444561845,38.203712,4.5821
81X,N71,6.8,,PFUnDA,4.372026721003534,5.558588295749617,776.535445,5.8902
82X,N72,7,,PFPeA,0.7046024307074952,18.01545195383117,29.111005,4.4641
82X,N72,7,,PFHxA,4.157181022489466,125.52255166026416,23.118997,4.364
82X,N72,7,,PFHpA,0.3891602496710539,6.257297701645798,52.193021,4.7176
82X,N72,7,,PFHxS,12.669732712039877,17.73742559817264,704.293776,5.8478
82X,N72,7,,PFNA,7.5944108074167715,95.95906293251801,69.142194,4.8397
82X,N72,7,,PFUnDA,12.363774642144943,10.211548410075693,1200.763945,6.0795
91X,N73,6.9,,PFPeA,0.5614338579764584,27.208941128181223,10.634168,4.0267
91X,N73,6.9,,PFHxA,1.819902340388316,91.12018620196513,9.972549,3.9988
91X,N73,6.9,,PFHpA,0.5298949841354259,28.74330923066647,8.43542,3.9261
91X,N73,6.9,,PFOA,0.6900738853117332,3.679703082169377,177.535209,5.2493
91X,N73,6.9,,PFHxS,0.05575106253520581,0.7234551542981282,67.062223,4.8265
91X,N73,6.9,,PFNA,6.07089564918183,111.15319596186512,44.617374,4.6495
91X,N73,6.9,,PFUnDA,2.7991818015691643,1.7837962688473898,1559.227299,6.1929
92X,N74,7.2,3.1271607562049795,PFPrA,3.1271607562049795,39.058874030400354,70.062747,4.8455
92X,N74,7.2,3.1271607562049795,PFPeA,0.5706921780040265,16.802682570330546,23.964349,4.3796
92X,N74,7.2,3.1271607562049795,PFBS,0.1614787145399953,0.5519125137843037,282.580274,5.4511
92X,N74,7.2,3.1271607562049795,PFHxA,1.8790013451424055,71.17978038736165,16.397965,4.2148
92X,N74,7.2,3.1271607562049795,PFHpA,0.371232205456569,6.977481883085482,43.204324,4.6355
92X,N74,7.2,3.1271607562049795,PFHxS,0.8682933028920432,4.383650433874728,188.075398,5.2743
92X,N74,7.2,3.1271607562049795,PFNA,7.296363856455789,87.23867635355339,73.636801,4.8671
92X,N74,7.2,3.1271607562049795,PFUnDA,3.2531577324039413,1.65183352887099,1959.422267,6.2921
94X,N75,7.4,3.0798335023160135,PFPrA,3.0798335023160135,25.282132824411587,111.818579,5.0485
94X,N75,7.4,3.0798335023160135,PFPeA,0.33838826568303404,11.182833352401598,20.259618,4.3066
94X,N75,7.4,3.0798335023160135,PFBS,0.3006369759411342,0.2134176308085225,1398.679193,6.1457
94X,N75,7.4,3.0798335023160135,PFHxA,1.036856404935709,43.017117945402745,14.103344,4.1493
94X,N75,7.4,3.0798335023160135,PFHpA,0.19372442570495274,5.032835303725181,28.492105,4.4547
94X,N75,7.4,3.0798335023160135,6:2 FTS,3.0501591908490076,11.88225807830825,246.698615,5.3922
94X,N75,7.4,3.0798335023160135,PFHxS,2.778061819162898,8.334635039820782,323.315353,5.5096
94X,N75,7.4,3.0798335023160135,PFNA,3.5989852995193434,65.21674631811483,45.184987,4.655
94X,N75,7.4,3.0798335023160135,PFUnDA,6.597013156405131,7.872408687174568,827.991702,5.918
97X,N76,7,,PFPeA,0.21444994409812912,10.770459379033646,9.910938,3.9961
97X,N76,7,,PFHxA,2.118465591804289,110.0659779515664,9.247234,3.966
97X,N76,7,,PFHpA,0.1638463553932133,3.4831504660678414,37.039701,4.5687
97X,N76,7,,PFHxS,0.2565196523911366,0.8211912488549109,302.375044,5.4805
97X,N76,7,,PFNA,2.2513456522364312,15.831082276001034,132.21047,5.1213
97X,N76,7,,PFUnDA,8.180907237463288,5.2818171379951355,1538.881194,6.1872
145X,N77,6.8,,PFBA,0.49481737329962305,1.5475386169033705,309.744766,5.491
145X,N77,6.8,,PFOA,0.2526323242276183,9.096790842378262,17.771588,4.2497
145X,N77,6.8,,PFUnDA,0.06577006063834091,2.6665636204778265,14.664726,4.1663
77X,N78,6.9,2.2921423881706815,PFPrA,2.2921423881706815,6.931390804427075,320.69011,5.5061
77X,N78,6.9,2.2921423881706815,PFHxA,0.5912139985142202,8.541808757246232,59.214146,4.7724
77X,N78,6.9,2.2921423881706815,PFHpA,0.19311806789828923,3.1101646108723697,52.092555,4.7168
77X,N78,6.9,2.2921423881706815,PFHxS,2.720538477128785,7.8,338.786984,5.5299
77X,N78,6.9,2.2921423881706815,PFNA,2.5326605581891304,23.2215841464743,99.064935,4.9959
144X,N79,7.5,,PFPeA,0.245873848237793,6.439082586943796,28.184609,4.45
144X,N79,7.5,,PFBS,0.36283960138710775,0.2,1804.198007,6.2563
144X,N79,7.5,,PFHxA,0.3620211144493431,5.316464484495603,58.094335,4.7641
144X,N79,7.5,,PFHpA,0.20718549762598298,11.513710730593688,7.994676,3.9028
