ENTRY (NUMBER),First author (name),publication (year),Scientific (Journal),DOI (number),matrix (used),Sample name (tag),PFAS (abreviation),PFAS (Subfamily),Empirical (Formula),MW ([g/mol]),pKa1 ([-]),pKa2 ([-]),f(+) ([-]),f(+-) ([-]),f(- + -) ([-]),f(-) ([-]),f(- -) ([-]),f (0) ([-]),sum ([-]),charge [+] / mol ([C/mol]),charge [-] / mol ([C/mol]),Effective MW ([g/mol]),Faraday (C/mol),net charge density ([C/g]),C number ([n]),F number ([n]),C/F ([-]),%F ([%]),CF2 ([n]),log (S),log (Kow),pH (measured),pH (method),Fe ((g/kg)),Fe ((mmol/kg)),Fe (%),Al ((g/kg)),Al ((mmol/kg)),Al (%),Fe/Al (method),CEC (cmol+/kg),CEC (method),Sand (% mineral),Silt (% mineral),Clay (% mineral),Texture (method),Sum (% mineral),Corg (%),foc,Batch information (Contact solution),SL min (g/L),SL max (g/L),Cin min (ppb),Cin max (ppb),Kd (L/Kg),Koc (L/Kg OC),log Koc ([-]),log Kd ([-]),Comments on the derivation of Kd (from literature studies),KFr (reported),KFr (reported units),1/n ([-]),Harmonized KFr ((ug/kg)/(ug/L)^(1/n)),Cw (ug/L),Cs (ug/kg),Kd (L/kg),,
11,Nguyen,2020,Environmental Science and Technology, 10.1021/acs.est.0c05705,soil,S5,6:2 FtSaB,Zwitterionic,C15H19F13N2O4S,570.08529999999996,2.2999999999999998,11.1,7.9416347001524248E-6,0.99979257352082673,1.9948484447318617E-4,0,0,0,1.0000000000000002,1.0000000000000002,-1.0001915432097732,570.08510845679029,96485,-3.2418048324354722E-2,15,13,0.72874493927125494,43.326849508310431,6,3.3010299956639813,4.8,7.4,1:10 CaCl2,not reported,not reported,not reported,not reported,not reported,not reported,not reported,29.6,not reported,39.799999999999997,7.7,52.5,not reported,100,2.23,2.23E-2,10 mM CaCl2,100,-,5,-,0.44,19.730941704035875,1.2951478134380268,-0.35654732351381258,Reported Kd at the soil pH condition ,,,,,,,,,
12,Nguyen,2020,Environmental Science and Technology, 10.1021/acs.est.0c05705,soil,S6,6:2 FtSaB,Zwitterionic,C15H19F13N2O4S,570.08529999999996,2.2999999999999998,11.1,3.9794716067914713E-6,0.999598073367714,3.9794716067914794E-4,0,0,0,1,1,-1.0003939676890723,570.08490603231076,96485,-6.6677738838407177E-2,15,13,0.72874493927125494,43.326849508310431,6,3.3010299956639813,4.8,7.7,1:10 CaCl2,not reported,not reported,not reported,not reported,not reported,not reported,not reported,21.63,not reported,70,11,19,not reported,100,4.9000000000000004,4.9000000000000002E-2,10 mM CaCl2,100,-,5,-,1.22,24.897959183673468,1.3961637506462345,8.6359830674748214E-2,Reported Kd at the soil pH condition ,,,,,,,,,
13,Nguyen,2020,Environmental Science and Technology, 10.1021/acs.est.0c05705,soil,S7,6:2 FtSaB,Zwitterionic,C15H19F13N2O4S,570.08529999999996,2.2999999999999998,11.1,3.9794716067914713E-6,0.999598073367714,3.9794716067914794E-4,0,0,0,1,1,-1.0003939676890723,570.08490603231076,96485,-6.6677738838407177E-2,15,13,0.72874493927125494,43.326849508310431,6,3.3010299956639813,4.8,7.7,1:10 CaCl2,not reported,not reported,not reported,not reported,not reported,not reported,not reported,7.8,not reported,48.9,32.6,18.5,not reported,100,0.13,1.2999999999999999E-3,10 mM CaCl2,100,-,5,-,1.4,1076.9230769230769,3.0321846833714012,0.14612803567823801,Reported Kd at the soil pH condition ,,,,,,,,,
14,Nguyen,2020,Environmental Science and Technology, 10.1021/acs.est.0c05705,soil,S8,6:2 FtSaB,Zwitterionic,C15H19F13N2O4S,570.08529999999996,2.2999999999999998,11.1,6.307949159143065E-6,0.99974256807166673,2.5112397917417638E-4,0,0,0,1,1,-1.000244816030015,570.08505518396998,96485,-4.1434299042231892E-2,15,13,0.72874493927125494,43.326849508310431,6,3.3010299956639813,4.8,7.5,1:10 CaCl2,not reported,not reported,not reported,not reported,not reported,not reported,not reported,2.2799999999999998,not reported,93,1,5,not reported,99,0.4,4.0000000000000001E-3,10 mM CaCl2,100,-,5,-,1.52,380,2.5797835966168101,0.18184358794477254,Reported Kd at the soil pH condition ,,,,,,,,,
15,Nguyen,2020,Environmental Science and Technology, 10.1021/acs.est.0c05705,soil,S9,6:2 FtSaB,Zwitterionic,C15H19F13N2O4S,570.08529999999996,2.2999999999999998,11.1,1.5847096055459E-5,0.99988416448749573,9.9988416448749568E-5,0,0,0,1,1,-1.0000841413203931,570.08521585867948,96485,-1.4240634684595049E-2,15,13,0.72874493927125494,43.326849508310431,6,3.3010299956639813,4.8,7.1,1:10 CaCl2,not reported,not reported,not reported,not reported,not reported,not reported,not reported,17.420000000000002,not reported,48.86,16.05,35.090000000000003,not reported,100,1.19,1.1899999999999999E-2,10 mM CaCl2,100,-,5,-,1.35,113.44537815126051,2.0547868071024755,0.13033376849500614,Reported Kd at the soil pH condition ,,,,,,,,,
16,Nguyen,2020,Environmental Science and Technology, 10.1021/acs.est.0c05705,soil,S10,6:2 FtSaB,Zwitterionic,C15H19F13N2O4S,570.08529999999996,2.2999999999999998,11.1,7.9424929790307874E-5,0.99990062442986338,1.9950640346387579E-5,0,0,0,1,1,-0.99994052571055614,570.08535947428948,96485,1.0065820357643794E-2,15,13,0.72874493927125494,43.326849508310431,6,3.3010299956639813,4.8,6.4,1:10 CaCl2,not reported,not reported,not reported,not reported,not reported,not reported,not reported,16.54,not reported,29.38,13.9,56.71,not reported,99.990000000000009,0.17,1.7000000000000001E-3,10 mM CaCl2,100,-,5,-,0.64,376.47058823529409,2.5757310526056134,-0.19382002601611281,Reported Kd at the soil pH condition ,,,,,,,,,
17,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,1,6:2 FtSaB,Zwitterionic,C15H19F13N2O4S,570.08529999999996,2.2999999999999998,11.1,1.5823837009219599E-3,0.99841661788246017,9.9841661788246018E-7,0,0,0,1,1,-0.99841861471569593,570.08688138528419,96485,0.26764334373967036,15,13,0.72874493927125494,43.326849508310431,6,3.3010299956639813,4.8,5.0999999999999996,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,14,Summation (pH7),6.3,71,22,not reported,99.3,1.5,1.4999999999999999E-2,artificial groundwater,100,-,1.0261535399999999,136820.47200000001,31,2066.666666666667,3.3152704347785913,1.4913616938342726,Reported Kd at Cw = 8.8 nM,,,,,,,,,
18,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,2,6:2 FtSaB,Zwitterionic,C15H19F13N2O4S,570.08529999999996,2.2999999999999998,11.1,6.3055790544878248E-4,0.99936693179831504,2.5102962360835482E-6,0,0,0,0.99999999999999989,0.99999999999999989,-0.99937195239078724,570.08592804760917,96485,0.10629480678888371,15,13,0.72874493927125494,43.326849508310431,6,3.3010299956639813,4.8,5.5,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,22,Summation (pH7),10,64,26,not reported,100,0.12,1.1999999999999999E-3,artificial groundwater,100,-,1.0261535399999999,250.83753199999998,150,125000.00000000001,5.0969100130080562,2.1760912590556813,Reported Kd at Cw = 8.8 nM,,,,,,,,,
19,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,3,6:2 FtSaB,Zwitterionic,C15H19F13N2O4S,570.08529999999996,2.2999999999999998,11.1,1.5823837009219599E-3,0.99841661788246017,9.9841661788246018E-7,0,0,0,1,1,-0.99841861471569593,570.08688138528419,96485,0.26764334373967036,15,13,0.72874493927125494,43.326849508310431,6,3.3010299956639813,4.8,5.0999999999999996,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,17,Summation (pH7),14,39,48,not reported,101,2.2999999999999998,2.3E-2,artificial groundwater,100,-,1.0261535399999999,250.83753199999998,23,1000,3,1.3617278360175928,Reported Kd at Cw = 8.8 nM,,,,,,,,,
20,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,4,6:2 FtSaB,Zwitterionic,C15H19F13N2O4S,570.08529999999996,2.2999999999999998,11.1,1.9912875921420541E-3,0.99800791966198887,7.9274586906595983E-7,0,0,0,1,1,-0.99800950515372699,570.08729049484612,96485,0.33688331321321957,15,13,0.72874493927125494,43.326849508310431,6,3.3010299956639813,4.8,5,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,36,Summation (pH7),37,45,18,not reported,100,7.7,7.6999999999999999E-2,artificial groundwater,100,-,1.0261535399999999,250.83753199999998,60,779.22077922077926,2.8916605252111616,1.7781512503836436,Reported Kd at Cw = 8.8 nM,,,,,,,,,
