test_pfas,n_train,n_test,r2,rmse
10:2 FTOH,1224,3,-1.3133,1.0816
10:2 FtSaB,1225,2,-0.4836,0.2508
4:2 FTOH,1226,1,nan,0.2667
4:2 FTS,1217,10,0.6879,0.1362
6:2 FTOH,1224,3,-2.3565,0.7054
6:2 FTS,1200,27,0.5434,0.4386
6:2 FtSaB,1205,22,-0.4839,1.1146
8:2 Cl-PFAES,1212,15,-2.2326,1.1062
8:2 FTOH,1222,5,-5.4674,1.2214
8:2 FTS,1201,26,-1.1435,0.6932
8:2 FtSaB,1222,5,-1.0587,0.528
ADONA,1217,10,-3.3721,0.4758
AmPr-FHxSA,1217,10,0.2369,0.6058
EtFOSA,1224,3,-2.0638,0.8089
FBSA,1217,10,-2.0024,0.2592
FHxSA,1217,10,-5.0339,0.7702
GenX,1218,9,0.4166,0.1755
N-EtFOSAA,1222,5,0.8592,0.2834
N-MeFOSAA,1222,5,-0.4389,0.854
PFBA,1203,24,0.2814,0.3293
PFBS,1183,44,0.707,0.3225
PFDA,1178,49,0.2801,0.404
PFDPA,1220,7,-0.837,0.5574
PFDS,1211,16,-0.148,0.5518
PFDoA,1203,24,-2.3563,0.9725
PFEtCHxS,1217,10,-4.6365,0.614
PFHpA,1203,24,0.4222,0.4963
PFHpS,1215,12,-2.0843,0.6327
PFHxA,1201,26,0.8562,0.215
PFHxPA,1220,7,0.2228,0.522
PFHxS,1142,85,0.7579,0.3089
PFNA,1194,33,0.636,0.3865
PFNS,1215,12,-1.0337,0.5054
PFOA,989,238,-0.5239,0.6498
PFOAAmS,1216,11,0.2766,0.3992
PFOAB,1216,11,-3.9799,1.0215
PFOPA,1220,7,-1.1605,0.6177
PFOS,953,274,0.2051,0.4285
PFOSA,1202,25,-1.0254,0.961
PFOSB,1222,5,-1.3673,1.3031
PFPeA,1202,25,0.6009,0.2407
PFPeS,1215,12,-0.178,0.2747
PFTeA,1225,2,0.1887,0.4688
PFTrA,1224,3,-0.1223,0.6638
PFUnA,1197,30,-3.7969,1.0228
TAmPr-FHxSA,1217,10,0.2216,0.6422
TFA,1207,20,0.3834,0.4313
